Primary key|Author 1|Author 2|Title|Original MSS.|Pub. Date|Link|Notes|Genre 1|Genre 2|Genre 3|Publisher
210|Gordon, Mary Wilson||The Fortunes of the Falconars, vol. 2||1844|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t78s53x1v||fiction|sagas|romance|
211|Gore, Leslie||Annie Jennings, vol. 1||1870|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t2c82pf2b||fiction|sagas|romance|
212|Gore, Leslie||Annie Jennings, vol. 2||1870|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t64462p3k||fiction|sagas|romance|
213|Gough, John Bartholomew||Autobiography and personal recollections of John B. Gough||1869|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0ft8dz8h||non-fiction|biography and autobiography||
214|Gower, Ronald Sutherland||Old diaries, 1881-1901||1902|http://babel.hathitrust.org/cgi/pt?id=yale.39002030760970||non-fiction|letters and diaries|essays and journals|
215|Graham, Clementina Stirling||Mystifications||1865|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3028s363||non-fiction|humour and satire||
216|Graham, Stephen||A private in the guards||1919|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t75t44n3p||fiction|war fiction||
217|Grant, James||The Scottish cavalier||1850|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3tt4jv8j||fiction|historical fiction|war fiction|
218|Grant, James||The Master of Aberfeldie, vol. 2||1884|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t46q2br93||fiction|historical fiction|war fiction|
219|Grant, James||The White Cockade, vol. 2||1867|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t4cn7h270||fiction|myths and legends|crime and mystery|
220|Grant, James||Colville of the Guards, vol. 1||1885|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t6pz5q03b||fiction|historical fiction|adventure|
221|Grant, James||The Captain of the Guard||1862|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t81j9bq4q||fiction|historical fiction|adventure|
222|Grant, James||The King's Own Borderers, vol. 1||1865|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t9377vm15||fiction|historical fiction|war fiction|
223|Gray, Asa||Letters of Asa Gray, vol. 1|c.1810-1888|1893|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2d797018||non-fiction|letters and diaries|biography and autobiography|
224|Gray, Thomas||Letters of Thomas Gray|1734-1771|1820|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3708nt89||non-fiction|letters and diaries|biography and autobiography|
225|Greeley, Horace||Glances at Europe||1851|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3320fr4d||non-fiction|travel||
226|Griscom, John||A Year in Europe, vol. 2||1823|http://babel.hathitrust.org/cgi/pt?id=nnc2.ark:/13960/t3rv0q106||non-fiction|travel|essays and journals|
228|Hall, Samuel Carter||Retrospect of a long life from 1815 to 1883||1883|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3gx4x89w||non-fiction|biography and autobiography|essays and journals|
229|Hall, Basil||Schloss Hainfeld||1836|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t88g8k68x||non-fiction|travel|essays and journals|
230|Hanna, William||Memoirs of the life and writings of Thomas Chalmers, vol. 2||1850|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5j96339f||non-fiction|letters and diaries|biography and autobiography|
231|Hanna, William||Memoirs of the life and writings of Thomas Chalmers, vol. 4||1852|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7sn0457p||non-fiction|letters and diaries|biography and autobiography|
232|Harker, Lizzie Allen||Miss Esperance and Mr. Wycherly||1908|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0xp6wj9m||fiction|children's fiction||
233|Harker, Lizzie Allen||Children of the dear Cotswolds||1918|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6pz53m10||fiction|children's fiction||
234|Harper, George McLean||Dreams and memories||1922|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2z31qz2n||fiction|children's fiction|short stories|
235|Haven, Gilbert||The pilgrim's wallet||1866|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5fb5rd1h||non-fiction|travel||
238|Hay, Ian||The right stuff||1908|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3fx75r0j||fiction|humour and satire|romance|
239|Hazlitt, William Carew||Memoirs of William Hazlitt, vol. 2||1867|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t18k79p36||non-fiction|letters and diaries|biography and autobiography|
240|Hazlitt, William Carew||Liber amoris||1823|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2f768m89||fiction|romance||
241|Holloway, Henry Clay||A new path across an old field||1886|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7np2x30s||non-fiction|travel||
242|Holmes, Oliver Wendall||Our hundred days in Europe||1887|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7np2x30s||non-fiction|travel||
243|Holmes, Burton||Burton Holmes travelogues||1922|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t57d2rt03||non-fiction|travel||
244|Horner, Francis||Memoirs and correspondence of Francis Horner, vol. 1|1778-1817|1843|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7cr5s30g||non-fiction|letters and diaries|biography and autobiography|
245|Howell, Charles Fish||Around the clock in Europe||1912|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6737fv0w||non-fiction|travel||
246|Hoyt, James M.||Glances on the wing at foreign lands||1872|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t81k07x24||non-fiction|travel||
247|Hubbell, Orrin Z.||A university tramp||1889|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5fb5x31j||non-fiction|letters and diaries|travel|
248|Hutton, Laurence||Literary landmarks of Edinburgh||1891|http://babel.hathitrust.org/cgi/pt?id=yale.39002085618974||non-fiction|history|essays and journals|
249|Hutton, William||Twelve thousand miles over land and sea||1878|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3126qn03||non-fiction|travel||
250|Hyatt, Alfred Henry||The charm of Edinburgh||1908|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7br8q023||non-fiction|history|short stories|
251|Ireland, Annie Elizabeth Nicholson||Life of Jane Welsh Carlyle||1891|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1hh72m7t||non-fiction|biography and autobiography||
252|Irving, Washington||Abbotsford and Newstead Abbey||1835|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t52f7k92z||non-fiction|biography and autobiography|travel|
253|Tearle, Christian||Rambles with an American||1910|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0qr4r11f|On database: au. 'Jacques, Edward Tyrell'|non-fiction|travel||
254|Jerome, Jerome K.||Sketches in lavender, blue, and green||1897|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8mc8tc9m||fiction|short stories||
255|Johnson, Jesse||Glimpses of Europe||1906|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t65436t8m||non-fiction|travel||
256|Johnston, David||Autobiographical reminiscences of David Johnston||1885|https://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t4dn42d2v||non-fiction|biography and autobiography||
257|Johnston, Richard Malcolm||Two gray tourists||1885|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8mc9s460||non-fiction|travel||
258|Johnstone, Christian Isobel||Elizabeth de Bruce, vol. 3||1827|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0ks6sp4p||fiction|classic fiction|historical fiction|
259|Johnstone, Christian Isobel||The Edinburgh Tales, vol. 3||1846|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t10p0x892||fiction|short stories|classic fiction|
260|Johnstone, Christian Isobel||Elizabeth de Bruce, vol. 1||1827|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5q81997z||fiction|classic fiction|historical fiction|
261|Johnstone, Christian Isobel||The Edinburgh Tales, vol. 2||1846|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5x63bx2z||fiction|short stories|classic fiction|
262|Johnstone, Christian Isobel||Elizabeth de Bruce, vol. 2||1827|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t75t44r6g||fiction|classic fiction|historical fiction|
263|Johnstone, Christian Isobel||The Edinburgh Tales, vol. 1||1845|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8kd1rj02||fiction|short stories|classic fiction|
264|King, Horatio||Sketches of travel||1878|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t75t4gs81||non-fiction|travel||
265|Knighton, William|Lady, Knighton|Memoirs of Sir William Knighton, vol. 1|1776-1836|1838|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9p26tz79||non-fiction|biography and autobiography||
266|Knowles, Robert Edward||The undertow||1906|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8rb6z21h||fiction|romance|humour and satire|
267|Knox, John||The works of John Knox, vol. 2|1548-1572|1848|http://babel.hathitrust.org/cgi/pt?id=yale.39002007050355||non-fiction|history||
269|Leighton, Alexander||Romances of the old town of Edinburgh||1867|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9q23w570||fiction|short stories|myths and legends|
270|Lewes, Charles Lees||Memoirs of Charles Lee Lewes, vol. 4||1805|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t05x28d60||non-fiction|biography and autobiography||
271|Lewes, Charles Lees||Memoirs of Charles Lee Lewes, vol. 3||1805|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3fx77517||non-fiction|biography and autobiography||
272|Linskill, Charles Dorrance||Travels in land beyond the sea||1888|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6pz5qf73||non-fiction|travel||
273|Linton, Eliza Lynn||Witch Stories||1861|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9959gq88||fiction|myths and legends|horror and ghost stories|
274|Greenwood, Grace||Bonnie Scotland||1861|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t21c2j46h|On database: au. 'Lippincott, Sara Jane Clarke'|non-fiction|history|travel|
275|Locke, James||Tweed and Don||1860|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3416vf14||non-fiction|travel|essays and journals|
276|Lockhart, John Gibson||Peter's letters to his kinsfolk, vol. 2||1819|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t14m94f69||fiction|letters and diaries|humour and satire|
277|Lockhart, John Gibson||Memoirs of the life of Sir Walter Scott, vol. 7-9||1837|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t24b2xb0f||non-fiction|biography and autobiography||
278|Lockhart, John Gibson||Peter's letters to his kinsfolk, vol. 1||1819|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3zs2pk78||fiction|letters and diaries|humour and satire|
279|Lockhart, John Gibson||Memoirs of the life of Sir Walter Scott, vol. 4-6||1837|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4qj78631||non-fiction|biography and autobiography||
280|Lockhart, John Gibson||Peter's letters to his kinsfolk, vol. 3||1819|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8jd4t78j||fiction|letters and diaries|humour and satire|
281|Lockhart, John Gibson||Life of Walter Scott||1870|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9x070z1b|ID 547 = duplicate: marked for deletion|non-fiction|biography and autobiography||
282|Lucas, Edward Verrall||Some friends of mine||1909|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t29889q9d||non-fiction|essays and journals|biography and autobiography|
283|Lyall, Edna||Wayfaring men||1897|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3319z186||fiction|romance||
284|Manly, John Matthews||English prose (1137-1890)||1909|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5j96pv7c||fiction|anthology||
285|Masson, Rosaline Orme||Edinburgh||1910|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6rx9s72m||non-fiction|history||
286|Porte||Diary of a summer in Europe||1866|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8gf19k0j|On database: au. 'Mathews, G. H.'|non-fiction|travel||
287|Maxwell, William Hamilton||Hill-side and border sketches||1847|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0wq0jw9q||non-fiction|essays and journals||
288|McCormick, Richard||St. Paul's to St. Sophia||1860|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7sn11w0v||non-fiction|travel||
290|Miller, Hugh||My schools and schoolmasters||1854|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t03x85n0n||non-fiction|biography and autobiography||
291|Miller, Hugh||Tales and sketches||1863|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t06w9z18x||non-fiction|essays and journals||
292|Miller, Daniel||Rambles in Europe||1911|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2794vb99||non-fiction|travel||
293|Miller, Hugh||Edinburgh and its neighbourhood, geological & historical||1863|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t43r0r790||non-fiction|history||
295|Moffat, James Clement||Song and scenery||1874|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6f19hb8s||non-fiction|travel||
296|Moncreiff, Frederick Charles||The X jewel||1896|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5bc4607f||fiction|historical fiction|romance|
297|Moore, Thomas||Memoirs, journals, and correspondence of Thomas Moore, vol. 8|1779-1852|1856|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t43r0w005||non-fiction|letters and diaries|biography and autobiography|
298|Moore, Walter William||A year in Europe||1905|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4dn41t4s||non-fiction|travel||
299|Moore, Thomas||Memoirs, journals, and correspondence of Thomas Moore, vol. 5|1779-1852|1853|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8df6rh3r||non-fiction|letters and diaries|biography and autobiography|
300|Moran, Benjamin||The footpath and highway||1853|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7np2kf9g||non-fiction|travel||
301|Morley, Christopher||Pipefuls||1920|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1jh4719d||fiction|short stories||
302|Morley, Christopher||Shandygaff||1918|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5q826h0d||fiction|short stories||
303|Mudie, Robert||The modern Athens||1825|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9g44qc5j||non-fiction|travel||
304|Munro, Neil||John Splendid||1898|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t89g5w351||fiction|historical fiction|war fiction|
305|Napier, Macvey||Selection from the correspondence of the late Macvey Napier||1879|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5r787v8d||non-fiction|letters and diaries||
306|Newell, William Whiting||Sketches of continental Europe and Great Britain||1859|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5v708t2c||non-fiction|travel||
307|Evangeline||European Leaflets, for Young Ladies||1861|http://babel.hathitrust.org/cgi/pt?id=nc01.ark:/13960/t89g5v93b|On database: au. 'Newman, A. E.'|non-fiction|travel||
308|Nye, Stephen Girard|Nye, Emma M.|Addresses and letters of travel||1908|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2891372n||non-fiction|travel||
309|O'Hara, Edward H.||World war at its climax||1922|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3dz08r62||fiction|war fiction||
310|Oliphant, Margaret||The laird of Norlaw||1858|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2p55dj7p||fiction|classic fiction|historical fiction|
311|Oliphant, Margaret||The autobiography and letters of Mrs. M.O.W. Oliphant||1899|http://babel.hathitrust.org/cgi/pt?id=miua.1376234.0001.001||non-fiction|biography and autobiography|letters and diaries|
312|Optic, Oliver||Shamrock and Thistle||1868|http://babel.hathitrust.org/cgi/pt?id=nc01.ark:/13960/t9v135m0n||non-fiction|travel|adventure|
313|Orczy, Baroness Emma||The man in the corner||1909|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4qj79t1j||fiction|crime and mystery||
314|Overton, Grant Martin||When winter comes to Main street||1922|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0pr89h3h||non-fiction|essays and journals||
316|Pairpoint, Alfred J.||Rambles in America||1891|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t22b9ch9f||non-fiction|travel||
317|Palmer, Phoebe||Four years in the Old world||1866|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9765f85s||non-fiction|travel||
318|Parker, Mrs William||Wandering thoughts and wandering steps||1880|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9765f85s||non-fiction|travel||
319|Paston, George||Little memoirs of the eighteenth century||1901|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3126d02t||non-fiction|biography and autobiography|essays and journals|
320|Peabody, Andrew Preston||Reminiscences of European travel||1868|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t77s8jc2c||non-fiction|travel||
321|Picken, Andrew||The Black Watch, vol. 1||1834|https://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t04x5wd9q||fiction|historical fiction|adventure|
322|Picken, Andrew||The Black Watch, vol. 3||1834|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t9d517f38||fiction|historical fiction|adventure|
323|Poe, Clarence Hamilton||A southerner in Europe||1908|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1cj9318z||non-fiction|travel||
324|Chuttraputtee, Rajah Ram||Diary of the late Rajah of Kolhapoor||1872|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8w956f1v||non-fiction|letters and diaries|travel|
325|Rees, Byron Johnson||Nineteenth century letters||1919|https://hdl.handle.net/2027/uc2.ark:/13960/t17m0505x||non-fiction|anthology|letters and diaries|
326|Rees, Laura L.||We four||1880|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6g16p43x||non-fiction|travel||
327|Robinson, Henry Crabb||Diary, reminiscences, and correspondence of Henry Crabb Robinson||1869|https://hdl.handle.net/2027/coo.31924016694618||non-fiction|letters and diaries|biography and autobiography|
328|Rose, Mrs William G.||Travels in Europe and Northern Africa||1901|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1pg2hw4n||non-fiction|travel||
329|Rosengarten, Mary D. Richardson||Eight journeys abroad||1917|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5fb5rb5j||non-fiction|travel||
330|Rusling, James Fowler||European days and ways||1902|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8v990b6n||non-fiction|travel||
331|Russell, Addison Peale||Library notes||1875|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3bz6r64c||non-fiction|essays and journals||
332|Ryley, Samuel Williams||The Itinerant, in Scotland||1827|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t5v702j7q||non-fiction|adventure|travel|
333|Sanders, Alvin Howard||The road to Dumbiedykes||1916|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1wd3s83z||non-fiction|essays and journals||
334|Schaw, Janet||Journal of a lady of quality|1774-1776|1921|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t02z15h83||non-fiction|letters and diaries|travel|
338|Scott, Walter||Guy Mannering||1815|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t39031p4v|ID 552 = duplicate: marked for deletion|fiction|historical fiction||
340|Scott, Walter||The Journal of Walter Scott|1825-1832|1890|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7jq0vz0t|ID 554 = duplicate: marked for deletion|non-fiction|letters and diaries||
341|Scott, Walter||The Fortunes of Nigel||1822|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t86h56406|ID 556 = duplicate: marked for deletion|fiction|historical fiction|adventure|
343|Scott, Walter||The Pirate||1822|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9862md7s|Claire to split w/ 'The Fortunes of Nigel'|fiction|historical fiction|adventure|
344|Scripps, James Edmund||Five months abroad||1882|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6pz5404s||non-fiction|letters and diaries||
345|Semple, David W.||Crusading with Knights templar||1879|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7pn9z13c||non-fiction|travel|letters and diaries|
346|Shand, Alexander Innes||Days of the past||1905|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6qz2x518||non-fiction|essays and journals||
347|Silliman, Benjamin||A Journal of Travels in England, Holland and Scotland, vol. 3||1812|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9377p56p||non-fiction|travel||
348|Simmonds, Irene||Our trip to Europe||1917|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8pc3p50n||non-fiction|travel||
349|Simond, Louis||Journal of a Tour and Residence in Great Britain, vol. 2||1815|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5bc44j0d||non-fiction|travel|essays and journals|
350|Simson, James||Reminiscences of childhood at Inverkeithing||1882|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9g457t6f||non-fiction|autobiography||
351|Sinclair, Catherine||Holiday House||1839|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t23b60x60|ID 537 = duplicate: marked for deletion|fiction|children's fiction||
352|Sinclair, Catherine||Modern Accomplishments||1836|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4hm53v8z||fiction|sagas||
353|Sinclair, Catherine||Modern Society||1837|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7dr31b5g||fiction|romance|sagas|
354|Sinclair, Catherine||Modern Flirtations, vol. 2||1841|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t7xk8zr2d||fiction|romance||
355|Smeaton, William Henry Oliphant||Allan Ramsay||1896|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0sq9cv48||non-fiction|biography and autobiography||
356|Smiles, Samuel||Autobiography of Samuel Smiles||1905|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6h135c50||non-fiction|biography and autobiography||
357|Smith, John Jay||A summer's jaunt across the water||1846|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1xd1kb4d||non-fiction|travel||
358|Smith, William||From Occident to Orient||1896|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3dz0xm5n||non-fiction|travel||
359|Smith, Alexander||Dreamthorp||1863|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3ws9kr79||non-fiction|essays and journals|short stories|
360|Smith, Alexander||Last leaves||1868|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5x63jt3k||non-fiction|essays and journals||
361|Snowden, James Henry||A summer across the sea||1908|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1qf96q49||non-fiction|travel||
362|Snyder, Marcia Penfield||Eight lands in eight weeks||1911|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t72v3d369||non-fiction|travel||
363|Eudora||Wayside notes and fireside thoughts||1884|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8sb4xr04||non-fiction|travel|essays and journals|
365|Stephens, Riccardo||Mr Peters||1897|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t16m3369j||fiction|adventure|crime and mystery|
366|Stevenson, Robert Louis||Letters and Miscellanies of Robert Louis Stevenson, new letters||1912|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t05x2nn94||non-fiction|letters and diaries||
367|Stevenson, Robert Louis||The Misadventures of John Nicholson||1887|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0qr4q44t|ID 92 = duplicate: marked for deletion|fiction|adventure|short stories|
368|Stevenson, Robert Louis||Virginibus puerisque, and other papers||1881|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0wq0w57g||non-fiction|essays and journals||
369|Stevenson, Robert Louis||St. Ives||1897|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2988b585|ID 94 = duplicate: marked for deletion|fiction|adventure||
370|Stevenson, Robert Louis||Letters and Miscellanies of Robert Louis Stevenson, vol.2||1903|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t40r9nz7p||non-fiction|letters and diaries||
371|Stevenson, Robert Louis||Across the plains with other memories and essays||1896|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t43r1g13g||non-fiction|travel|essays and journals|
373|Stevenson, Robert Louis||The Body Snatcher||1884|https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5s75m18c;view=2up;seq=272||fiction|short stories||
374|Stevenson, William||Sights and scenes in Europe||1882|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t72v2ft0v||non-fiction|travel||
375|Stevenson, Robert Louis||Essays by Robert Louis Stevenson||1892|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t76t18931||non-fiction|essays and journals||
376|Stevenson, Robert Louis||Memories and portraits||1887|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t78s4z223||non-fiction|essays and journals||
377|Stevenson, Robert Louis||The Master of Ballantrae||1889|https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7sn0dv9x;seq=19||fiction|war fiction||
378|Stevenson, Robert Louis||Lay morals, and other papers||1911|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9086wk0p|IDs 91 & 93 = duplicates: marked for deletion|non-fiction|essays and journals||
379|Stevenson, Robert Louis||Letters and Miscellanies of Robert Louis Stevenson, vol.1||1903|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9v11xp78||non-fiction|letters and diaries||
380|Stine, Milton Henry||A winter jaunt through historic lands||1890|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2m62652f||non-fiction|travel||
381|Stowe, Harriet Beecher||Sunny memories of foreign lands, vol. 1||1854|http://babel.hathitrust.org/cgi/pt?id=miun.adm0370.0001.001||non-fiction|travel||
382|Swan, Annie Shepherd||Sheila||1899|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t28913f68||fiction|adventure|romance|
383|Sweat, Margaret Jane Mussey||Highways of travel||1859|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9k36gd20||non-fiction|travel||
384|Tadlock, Clara Moyse||Bohemian days||1889|http://babel.hathitrust.org/cgi/pt?id=yale.39002030973235||non-fiction|travel||
385|Talmage, Thomas de Witt||Crumbs swept up||1870|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t17m0tt42||non-fiction|essays and journals|short stories|
386|Taylor, Charles Maus||The British isles through an opera glass||1899|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8w95pm5t||non-fiction|travel||
387|Thompson, Ella W.||Beaten paths||1874|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3514p71x||non-fiction|travel||
